     0,0                   ,     0,     0,            0,      0.000,      0.000,               $0.00,01-jan-1960              ,a,a,a,a,aaaaaaa0bbbbbbb0ccccccc0ddddddd0xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd0xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd0xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd0xxxxxxxxxxxxxxxxxx,     0,     0,            0,      0.000,      0.000,               $0.00,01-jan-1960              ,a,a,a,a,aaaaaaa0bbbbbbb0ccccccc0ddddddd0xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd0xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd0xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd0xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd0xxxxxxxxxxxxxxxxxxxxxxxxxxxx
     1,1                   ,     1,     1,            1,      0.010,      0.010,               $1.00,02-jan-1960              ,a,a,a,a,aaaaaaa0bbbbbbb0ccccccc0ddddddd1xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd1xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd1xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd1xxxxxxxxxxxxxxxxxx,     1,     1,            1,      0.010,      0.010,               $1.00,02-jan-1960              ,a,a,a,a,aaaaaaa0bbbbbbb0ccccccc0ddddddd1xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd1xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd1xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd1xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd1xxxxxxxxxxxxxxxxxxxxxxxxxxxx
     2,2                   ,     2,     2,            2,      0.020,      0.020,               $2.00,03-jan-1960              ,a,a,a,a,aaaaaaa0bbbbbbb0ccccccc0ddddddd2xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd2xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd2xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd2xxxxxxxxxxxxxxxxxx,     2,     2,            2,      0.020,      0.020,               $2.00,03-jan-1960              ,a,a,a,a,aaaaaaa0bbbbbbb0ccccccc0ddddddd2xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd2xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd2xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd2xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd2xxxxxxxxxxxxxxxxxxxxxxxxxxxx
     3,3                   ,     3,     3,            3,      0.030,      0.030,               $3.00,04-jan-1960              ,a,a,a,a,aaaaaaa0bbbbbbb0ccccccc0ddddddd3xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd3xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd3xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd3xxxxxxxxxxxxxxxxxx,     3,     3,            3,      0.030,      0.030,               $3.00,04-jan-1960              ,a,a,a,a,aaaaaaa0bbbbbbb0ccccccc0ddddddd3xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd3xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd3xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd3xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd3xxxxxxxxxxxxxxxxxxxxxxxxxxxx
     4,4                   ,     4,     4,            4,      0.040,      0.040,               $4.00,05-jan-1960              ,a,a,a,a,aaaaaaa0bbbbbbb0ccccccc0ddddddd4xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd4xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd4xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd4xxxxxxxxxxxxxxxxxx,     4,     4,            4,      0.040,      0.040,               $4.00,05-jan-1960              ,a,a,a,a,aaaaaaa0bbbbbbb0ccccccc0ddddddd4xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd4xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd4xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd4xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd4xxxxxxxxxxxxxxxxxxxxxxxxxxxx
     5,5                   ,     5,     5,            5,      0.050,      0.050,               $5.00,06-jan-1960              ,a,a,a,a,aaaaaaa0bbbbbbb0ccccccc0ddddddd5xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd5xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd5xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd5xxxxxxxxxxxxxxxxxx,     5,     5,            5,      0.050,      0.050,               $5.00,06-jan-1960              ,a,a,a,a,aaaaaaa0bbbbbbb0ccccccc0ddddddd5xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd5xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd5xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd5xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd5xxxxxxxxxxxxxxxxxxxxxxxxxxxx
     6,6                   ,     6,     6,            6,      0.060,      0.060,               $6.00,07-jan-1960              ,a,a,a,a,aaaaaaa0bbbbbbb0ccccccc0ddddddd6xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd6xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd6xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd6xxxxxxxxxxxxxxxxxx,     6,     6,            6,      0.060,      0.060,               $6.00,07-jan-1960              ,a,a,a,a,aaaaaaa0bbbbbbb0ccccccc0ddddddd6xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd6xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd6xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd6xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd6xxxxxxxxxxxxxxxxxxxxxxxxxxxx
     7,7                   ,     7,     7,            7,      0.070,      0.070,               $7.00,08-jan-1960              ,a,a,a,a,aaaaaaa0bbbbbbb0ccccccc0ddddddd7xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd7xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd7xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd7xxxxxxxxxxxxxxxxxx,     7,     7,            7,      0.070,      0.070,               $7.00,08-jan-1960              ,a,a,a,a,aaaaaaa0bbbbbbb0ccccccc0ddddddd7xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd7xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd7xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd7xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd7xxxxxxxxxxxxxxxxxxxxxxxxxxxx
     8,8                   ,     8,     8,            8,      0.080,      0.080,               $8.00,09-jan-1960              ,a,a,a,a,aaaaaaa0bbbbbbb0ccccccc0ddddddd8xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd8xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd8xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd8xxxxxxxxxxxxxxxxxx,     8,     8,            8,      0.080,      0.080,               $8.00,09-jan-1960              ,a,a,a,a,aaaaaaa0bbbbbbb0ccccccc0ddddddd8xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd8xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd8xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd8xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd8xxxxxxxxxxxxxxxxxxxxxxxxxxxx
     9,9                   ,     9,     9,            9,      0.090,      0.090,               $9.00,10-jan-1960              ,a,a,a,a,aaaaaaa0bbbbbbb0ccccccc0ddddddd9xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd9xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd9xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd9xxxxxxxxxxxxxxxxxx,     9,     9,            9,      0.090,      0.090,               $9.00,10-jan-1960              ,a,a,a,a,aaaaaaa0bbbbbbb0ccccccc0ddddddd9xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd9xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd9xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd9xxxxxxxxxxxxxxxxxx,aaaaaaa0bbbbbbb0ccccccc0ddddddd9xxxxxxxxxxxxxxxxxxxxxxxxxxxx
