     0	     0	            0	      0.000	      0.000	               $0.00	01-jan-1960              	   61aaaaaaa0bbbbbbb0ccccccc0ddddddd0xxxxxxxxxxxxxxxxxxxxxxxxxxxxx

     1	     1	            1	      0.010	      0.010	               $1.00	02-jan-1960              	   61aaaaaaa0bbbbbbb0ccccccc0ddddddd1xxxxxxxxxxxxxxxxxxxxxxxxxxxxx

     2	     2	            2	      0.020	      0.020	               $2.00	03-jan-1960              	   61aaaaaaa0bbbbbbb0ccccccc0ddddddd2xxxxxxxxxxxxxxxxxxxxxxxxxxxxx

     3	     3	            3	      0.030	      0.030	               $3.00	04-jan-1960              	   61aaaaaaa0bbbbbbb0ccccccc0ddddddd3xxxxxxxxxxxxxxxxxxxxxxxxxxxxx

     4	     4	            4	      0.040	      0.040	               $4.00	05-jan-1960              	   61aaaaaaa0bbbbbbb0ccccccc0ddddddd4xxxxxxxxxxxxxxxxxxxxxxxxxxxxx

     5	     5	            5	      0.050	      0.050	               $5.00	06-jan-1960              	   61aaaaaaa0bbbbbbb0ccccccc0ddddddd5xxxxxxxxxxxxxxxxxxxxxxxxxxxxx

     6	     6	            6	      0.060	      0.060	               $6.00	07-jan-1960              	   61aaaaaaa0bbbbbbb0ccccccc0ddddddd6xxxxxxxxxxxxxxxxxxxxxxxxxxxxx

     7	     7	            7	      0.070	      0.070	               $7.00	08-jan-1960              	   61aaaaaaa0bbbbbbb0ccccccc0ddddddd7xxxxxxxxxxxxxxxxxxxxxxxxxxxxx

     8	     8	            8	      0.080	      0.080	               $8.00	09-jan-1960              	   61aaaaaaa0bbbbbbb0ccccccc0ddddddd8xxxxxxxxxxxxxxxxxxxxxxxxxxxxx

     9	     9	            9	      0.090	      0.090	               $9.00	10-jan-1960              	   61aaaaaaa0bbbbbbb0ccccccc0ddddddd9xxxxxxxxxxxxxxxxxxxxxxxxxxxxx

    10	    10	           10	      0.100	      0.100	              $10.00	11-jan-1960              	   61aaaaaaa0bbbbbbb0ccccccc1ddddddd0xxxxxxxxxxxxxxxxxxxxxxxxxxxxx

