            0	    4TRUE	    4TRUE	    4TRUE

            1	    4TRUE	    4TRUE	    4TRUE

            2	    4TRUE	    4TRUE	    4TRUE

            3	    4TRUE	    4TRUE	    4TRUE

            4	    4TRUE	    4TRUE	    4TRUE

            5	    5FALSE	    4TRUE	    4TRUE

            6	    4TRUE	    4TRUE	    4TRUE

            7	    4TRUE	    4TRUE	    4TRUE

            8	    4TRUE	    4TRUE	    4TRUE

            9	    4TRUE	    4TRUE	    4TRUE

           10	    5FALSE	    5FALSE	    4TRUE

           11	    4TRUE	    4TRUE	    4TRUE

           12	    4TRUE	    4TRUE	    4TRUE

           13	    4TRUE	    4TRUE	    4TRUE

           14	    4TRUE	    4TRUE	    4TRUE

           15	    5FALSE	    4TRUE	    5FALSE

           16	    4TRUE	    4TRUE	    4TRUE

           17	    4TRUE	    4TRUE	    4TRUE

           18	    4TRUE	    4TRUE	    4TRUE

           19	    4TRUE	    4TRUE	    4TRUE

           20	    5FALSE	    5FALSE	    4TRUE

           21	    4TRUE	    4TRUE	    4TRUE

           22	    4TRUE	    4TRUE	    4TRUE

           23	    4TRUE	    4TRUE	    4TRUE

           24	    4TRUE	    4TRUE	    4TRUE

           25	    5FALSE	    4TRUE	    4TRUE

           26	    4TRUE	    4TRUE	    4TRUE

           27	    4TRUE	    4TRUE	    4TRUE

           28	    4TRUE	    4TRUE	    4TRUE

           29	    4TRUE	    4TRUE	    4TRUE

           30	    5FALSE	    5FALSE	    5FALSE

           31	    4TRUE	    4TRUE	    4TRUE

           32	    4TRUE	    4TRUE	    4TRUE

           33	    4TRUE	    4TRUE	    4TRUE

           34	    4TRUE	    4TRUE	    4TRUE

           35	    5FALSE	    4TRUE	    4TRUE

           36	    4TRUE	    4TRUE	    4TRUE

           37	    4TRUE	    4TRUE	    4TRUE

           38	    4TRUE	    4TRUE	    4TRUE

           39	    4TRUE	    4TRUE	    4TRUE

           40	    5FALSE	    5FALSE	    4TRUE

           41	    4TRUE	    4TRUE	    4TRUE

           42	    4TRUE	    4TRUE	    4TRUE

           43	    4TRUE	    4TRUE	    4TRUE

           44	    4TRUE	    4TRUE	    4TRUE

           45	    5FALSE	    4TRUE	    5FALSE

           46	    4TRUE	    4TRUE	    4TRUE

           47	    4TRUE	    4TRUE	    4TRUE

           48	    4TRUE	    4TRUE	    4TRUE

           49	    4TRUE	    4TRUE	    4TRUE

           50	    5FALSE	    5FALSE	    4TRUE

           51	    4TRUE	    4TRUE	    4TRUE

           52	    4TRUE	    4TRUE	    4TRUE

           53	    4TRUE	    4TRUE	    4TRUE

           54	    4TRUE	    4TRUE	    4TRUE

           55	    5FALSE	    4TRUE	    4TRUE

           56	    4TRUE	    4TRUE	    4TRUE

           57	    4TRUE	    4TRUE	    4TRUE

           58	    4TRUE	    4TRUE	    4TRUE

           59	    4TRUE	    4TRUE	    4TRUE

           60	    5FALSE	    5FALSE	    5FALSE

           61	    4TRUE	    4TRUE	    4TRUE

           62	    4TRUE	    4TRUE	    4TRUE

           63	    4TRUE	    4TRUE	    4TRUE

           64	    4TRUE	    4TRUE	    4TRUE

           65	    5FALSE	    4TRUE	    4TRUE

           66	    4TRUE	    4TRUE	    4TRUE

           67	    4TRUE	    4TRUE	    4TRUE

           68	    4TRUE	    4TRUE	    4TRUE

           69	    4TRUE	    4TRUE	    4TRUE

           70	    5FALSE	    5FALSE	    4TRUE

           71	    4TRUE	    4TRUE	    4TRUE

           72	    4TRUE	    4TRUE	    4TRUE

           73	    4TRUE	    4TRUE	    4TRUE

           74	    4TRUE	    4TRUE	    4TRUE

           75	    5FALSE	    4TRUE	    5FALSE

           76	    4TRUE	    4TRUE	    4TRUE

           77	    4TRUE	    4TRUE	    4TRUE

           78	    4TRUE	    4TRUE	    4TRUE

           79	    4TRUE	    4TRUE	    4TRUE

           80	    5FALSE	    5FALSE	    4TRUE

           81	    4TRUE	    4TRUE	    4TRUE

           82	    4TRUE	    4TRUE	    4TRUE

           83	    4TRUE	    4TRUE	    4TRUE

           84	    4TRUE	    4TRUE	    4TRUE

           85	    5FALSE	    4TRUE	    4TRUE

           86	    4TRUE	    4TRUE	    4TRUE

           87	    4TRUE	    4TRUE	    4TRUE

           88	    4TRUE	    4TRUE	    4TRUE

           89	    4TRUE	    4TRUE	    4TRUE

           90	    5FALSE	    5FALSE	    5FALSE

           91	    4TRUE	    4TRUE	    4TRUE

           92	    4TRUE	    4TRUE	    4TRUE

           93	    4TRUE	    4TRUE	    4TRUE

           94	    4TRUE	    4TRUE	    4TRUE

           95	    5FALSE	    4TRUE	    4TRUE

           96	    4TRUE	    4TRUE	    4TRUE

           97	    4TRUE	    4TRUE	    4TRUE

           98	    4TRUE	    4TRUE	    4TRUE

           99	    4TRUE	    4TRUE	    8]^NULL^[

          100	    5FALSE	    5FALSE	    8]^NULL^[

