     1 ,          1 ,     1.00 ,         1.0000 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,     2 ,        101 ,     2.10 ,       101.1234 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
     3 ,        201 ,     3.20 ,       201.2468 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,     4 ,        301 ,     4.30 ,       301.3702 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
     5 ,        401 ,     5.40 ,       401.4936 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,     6 ,        501 ,     6.50 ,       501.6170 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
     7 ,        601 ,     7.60 ,       601.7404 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,     8 ,        701 ,     8.70 ,       701.8638 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
     9 ,        801 ,     9.80 ,       801.9872 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,    10 ,        901 ,    10.90 ,       902.1106 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
    11 ,       1001 ,    12.00 ,      1002.2340 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,    12 ,       1101 ,    13.10 ,      1102.3574 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
    13 ,       1201 ,    14.20 ,      1202.4808 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,    14 ,       1301 ,    15.30 ,      1302.6042 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
    15 ,       1401 ,    16.40 ,      1402.7276 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,    16 ,       1501 ,    17.50 ,      1502.8510 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
    17 ,       1601 ,    18.60 ,      1602.9744 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,    18 ,       1701 ,    19.70 ,      1703.0978 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
    19 ,       1801 ,    20.80 ,      1803.2212 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,    20 ,       1901 ,    21.90 ,      1903.3446 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
    21 ,       2001 ,    23.00 ,      2003.4680 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,    22 ,       2101 ,    24.10 ,      2103.5914 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
    23 ,       2201 ,    25.20 ,      2203.7148 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,    24 ,       2301 ,    26.30 ,      2303.8382 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
    25 ,       2401 ,    27.40 ,      2403.9616 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,    26 ,       2501 ,    28.50 ,      2504.0850 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
    27 ,       2601 ,    29.60 ,      2604.2084 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,    28 ,       2701 ,    30.70 ,      2704.3318 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
    29 ,       2801 ,    31.80 ,      2804.4552 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,    30 ,       2901 ,    32.90 ,      2904.5786 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
    31 ,       3001 ,    34.00 ,      3004.7020 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,    32 ,       3101 ,    35.10 ,      3104.8254 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
    33 ,       3201 ,    36.20 ,      3204.9488 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 ,    34 ,       3301 ,    37.30 ,      3305.0722 ,rich       ,good-bye   ,     1.00 ,02-apr-1991 
