     1 ,          1 ,     1.00 ,         1.0000 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
     2 ,        101 ,     2.10 ,       101.1234 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
     3 ,        201 ,     3.20 ,       201.2468 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
     4 ,        301 ,     4.30 ,       301.3702 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
     5 ,        401 ,     5.40 ,       401.4936 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
     6 ,        501 ,     6.50 ,       501.6170 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
     7 ,        601 ,     7.60 ,       601.7404 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
     8 ,        701 ,     8.70 ,       701.8638 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
     9 ,        801 ,     9.80 ,       801.9872 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    10 ,        901 ,    10.90 ,       902.1106 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    11 ,       1001 ,    12.00 ,      1002.2340 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    12 ,       1101 ,    13.10 ,      1102.3574 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    13 ,       1201 ,    14.20 ,      1202.4808 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    14 ,       1301 ,    15.30 ,      1302.6042 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    15 ,       1401 ,    16.40 ,      1402.7276 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    16 ,       1501 ,    17.50 ,      1502.8510 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    17 ,       1601 ,    18.60 ,      1602.9744 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    18 ,       1701 ,    19.70 ,      1703.0978 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    19 ,       1801 ,    20.80 ,      1803.2212 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    20 ,       1901 ,    21.90 ,      1903.3446 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    21 ,       2001 ,    23.00 ,      2003.4680 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    22 ,       2101 ,    24.10 ,      2103.5914 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    23 ,       2201 ,    25.20 ,      2203.7148 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    24 ,       2301 ,    26.30 ,      2303.8382 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    25 ,       2401 ,    27.40 ,      2403.9616 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    26 ,       2501 ,    28.50 ,      2504.0850 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    27 ,       2601 ,    29.60 ,      2604.2084 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    28 ,       2701 ,    30.70 ,      2704.3318 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    29 ,       2801 ,    31.80 ,      2804.4552 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    30 ,       2901 ,    32.90 ,      2904.5786 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    31 ,       3001 ,    34.00 ,      3004.7020 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    32 ,       3101 ,    35.10 ,      3104.8254 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    33 ,       3201 ,    36.20 ,      3204.9488 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    34 ,       3301 ,    37.30 ,      3305.0722 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    35 ,       3401 ,    38.40 ,      3405.1956 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    36 ,       3501 ,    39.50 ,      3505.3190 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    37 ,       3601 ,    40.60 ,      3605.4424 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    38 ,       3701 ,    41.70 ,      3705.5658 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    39 ,       3801 ,    42.80 ,      3805.6892 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    40 ,       3901 ,    43.90 ,      3905.8126 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    41 ,       4001 ,    45.00 ,      4005.9360 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    42 ,       4101 ,    46.10 ,      4106.0594 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    43 ,       4201 ,    47.20 ,      4206.1828 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    44 ,       4301 ,    48.30 ,      4306.3062 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    45 ,       4401 ,    49.40 ,      4406.4296 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    46 ,       4501 ,    50.50 ,      4506.5530 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    47 ,       4601 ,    51.60 ,      4606.6764 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    48 ,       4701 ,    52.70 ,      4706.7998 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
