    710-20TN	   17Lift 10-20 Tonnes	   17Lift 10-20 Tonnes	    0	   17Lift 10-20 Tonnes	          324	24-jul-2000 17:09:21     	                         	                         	    6he2441	    0	    0	    1A

    410GN	   1410FT Container	   1510FT Containers	    0	   1510FT Containers	           13	10-nov-1999 15:32:50     	26-jan-2000 17:24:44     	                         	    4load	    6mo2719	    0	    1A

    410MT	   1010FT Empty	   1210FT Empties	    0	   1210FT Empties	           14	10-nov-1999 15:32:50     	26-jan-2000 17:24:55     	                         	    4load	    6mo2719	    0	    1A

    31ST	   18<PopsDel>1ST MONTH	    4DAYS	    0	    4DAYS	           15	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    41STC	   20<PopsDel>1ST COLLECT	   10COLLECTION	    0	   10COLLECTION	           16	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    41STD	   18<PopsDel>FIRST DAY	    4DAYS	    0	    4DAYS	           17	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    41STP	    8PERIOD 1	    7Periods	    0	    7Periods	           18	10-nov-1999 15:32:50     	27-jan-2000 09:26:28     	                         	    4load	    6mo2719	    0	    1A

    61STSND	   221st Shift - Normal Day	   201st Shift - Normal D	    0	   201st Shift - Normal D	          309	09-feb-2000 13:16:30     	09-feb-2000 13:32:00     	09-feb-2000 13:32:00     	    6he2441	    6he2441	    6he2441	    1I

    61STSPH	   261st Shift - Public Holiday	   201st Shift - Public H	    0	   201st Shift - Public H	          312	09-feb-2000 13:20:33     	09-feb-2000 13:31:36     	09-feb-2000 13:31:36     	    6he2441	    6he2441	    6he2441	    1I

    41STV	   11FIRST VISIT	   10Gross Tons	    0	   10Gross Tons	           19	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    420BA	    920FT Base	    920FT Base	    0	    920FT Base	          352	24-nov-2000 10:11:25     	                         	                         	    6he2441	    0	    0	    1A

    420CC	   1220FT CARCASE	   10CONTAINERS	    0	   10CONTAINERS	           20	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    420DH	   10DAILY HIRE	    420FT	    4DAYS	    920FT/DAYS	           21	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    420DL	    820FT DLR	   1020FT DLR'S	    0	   1020FT DLR'S	           22	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    420FN	   1120FT FANTNR	   10FANTAINERS	    0	   10FANTAINERS	           23	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    420FT	   1420FT Container	   1520FT Containers	    0	   1520FT Containers	           24	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    420GN	   1220FT General	   1520GN Containers	    0	   1520GN Containers	           25	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    420MT	   1020FT Empty	   1220FT Empties	    0	   1220FT Empties	           26	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    620MT01	   1820FT Empty - Day 1	   1820FT Empty - Day 1	    0	   1820FT Empty - Day 1	          327	27-jul-2000 14:43:33     	                         	                         	    6he2441	    0	    0	    1A

    620MT10	   2120FT Empty to 10 Days	   2020FT Empty -> 10 Dys	    0	   2020FT Empty -> 10 Dys	          328	27-jul-2000 14:54:40     	27-jul-2000 15:02:22     	                         	    6he2441	    6he2441	    0	    1A

    620MT19	   2120FT Empty to 19 Days	   2020FT Empty -> 19 Dys	    0	   2120FT Empty -> 19 Days	          329	27-jul-2000 14:55:28     	27-jul-2000 15:14:25     	                         	    6he2441	    6he2441	    0	    1A

    620MT29	   2120FT Empty to 29 Days	   2020FT Empty -> 29 Dys	    0	   2120FT Empty -> 29 Days	          330	27-jul-2000 14:57:57     	27-jul-2000 15:14:33     	                         	    6he2441	    6he2441	    0	    1A

    620MTSP	   2220FT Empty Special Box	   1820FT Empty Special	    0	   1820FT Empty Special	          331	27-jul-2000 14:59:11     	                         	                         	    6he2441	    0	    0	    1A

    820MTSP10	   2820FT Empty Special ->10 Days	   2020FT MT SP ->10 Days	    0	   2020FT MT SP ->10 Days	          332	27-jul-2000 15:00:42     	27-jul-2000 15:14:53     	                         	    6he2441	    6he2441	    0	    1A

    820MTSP19	   2820FT Empty Special ->19 Days	   2020FT MT SP ->19 Days	    0	   2020FT MT SP ->19 Days	          333	27-jul-2000 15:02:18     	                         	                         	    6he2441	    0	    0	    1A

    820MTSP29	   2820FT Empty Special ->29 Days	   2020FT MT SP ->29 Days	    0	   2020FT MT SP ->29 Days	          334	27-jul-2000 15:02:54     	27-jul-2000 15:03:27     	                         	    6he2441	    6he2441	    0	    1A

    420NT	   1020FT UNITS	    6NIGHTS	    0	    6NIGHTS	           27	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

