    4CORP	           -1	    8Standard	    0	    0	    0	    0	    0	    0	    0	    0	                         	    0	    0	    0	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

    4CORP	            1	   15HOLDING COMPANY	   33PORTS OF AUCKLAND LTD HOLDING CO.	    0	   12(09)366-0055	    0	    1I	    1N	    1N	    1P	                         	    320M	    6AR-INT	    1N	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13600	   23TERMINAL SERVCES P.A.L.	   35TERMINAL SERVICES PORTS OF AUCK LTD	    0	   12(09)366-0055	    0	    1I	    1N	    1N	    1P	                         	    320M	    6AR-INT	    1N	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13601	   15AXIS INTERMODAL	   15AXIS INTERMODAL	    1.	   12(09)366-0055	    0	    1I	    1N	    1N	    1P	                         	    320M	    6AR-INT	    1N	    0	    0	     3	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1A

    4CORP	        13602	   21PLANT SERVICES P.A.L.	   32PLANT SERVICES PORTS OF AUCK LTD	    0	   12(09)366-0055	    0	    1I	    1N	    1N	    1P	                         	    320M	    6AR-INT	    1N	    0	    0	     2	10-nov-1999              	13-nov-1999 04:21:04     	                         	    4load	    6cusimp	    0	    1A

    4CORP	        13603	   27ENGINEERING DIVISION P.A.L.	   34ENGINEERING DIVISION PORTS OF AUCK	    0	   12(09)366-0055	    0	    1I	    1N	    1N	    1P	                         	    320M	    6AR-INT	    1N	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13604	    8PROPERTY	   25PROPERTY & DEVELOPMENT CO	    0	    0	    0	    1I	    1N	    1N	    1P	                         	    320M	    6AR-INT	    1N	    0	    0	     2	10-nov-1999              	13-nov-1999 04:21:04     	                         	    4load	    6cusimp	    0	    1A

    4CORP	        13605	   19HARBOURS DEPARTMENT	   25AUCKLAND REGIONAL COUNCIL	    0	   12(09) 795-950	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13666	    9CASH SALE	    9CASH SALE	    0	    8366-0055	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	13-nov-1999 04:21:04     	                         	    4load	    6cusimp	    0	    1A

    4CORP	        13667	   21AUCKLAND CITY COUNCIL	   21AUCKLAND CITY COUNCIL	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13668	   27AUCKLAND REGIONAL AUTHORITY	   27AUCKLAND REGIONAL AUTHORITY	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13669	   30PARLIAMENTARY SELECT COMMITTEE	   13AMERICA'S CUP	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13670	   16PRICE WATERHOUSE	   16PRICE WATERHOUSE	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13671	   24AUCKLAND MARITIME MUSEUM	   24AUCKLAND MARITIME MUSEUM	   15DR.T.L.R.WILSON	    8379-5950	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13672	   29HARRISON GRIERSON CONSULTANTS	   29HARRISON GRIERSON CONSULTANTS	   12MR.G.METCALF	    8309-0346	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13673	   26MARINE RESCUE CENTRE TRUST	   35AUCKLAND MARINE RESCUE CENTRE TRUST	   14R.P.S.WILLIAMS	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13674	    7NZ NAVY	    7NZ NAVY	   15LT.CDR.D.WRIGHT	    8445-4000	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13675	   29KINGETT MITCHELL & ASSOCIATES	   29KINGETT MITCHELL & ASSOCIATES	    0	    8415-8988	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13676	   18SALMOND ARCHITECTS	   18SALMOND ARCHITECTS	    8G.BOWRON	    8445-4045	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

