    3MIS	    0	    0	         8624	    5POSER	    5PWHRF	    2JF	    0	            0	            0	    0	    0	    0	                         	                         	                         	                         	                         	                         	                         	    0	    1A	    6br2464	27-apr-2000 10:36:19     

    3MIS	    0	    0	         8626	    5POSER	    5PWHRF	    2QC	    0	            0	            0	    0	    0	    0	                         	                         	                         	                         	                         	                         	                         	    0	    1A	    6br2464	27-apr-2000 10:36:19     

    3GEN	    0	    1J	         9789	    5POSER	    5PWHRF	    2JF	    0	            0	            0	    1C	    0	    0	                         	                         	09-jan-2001 16:27:36     	                         	                         	13-dec-1999              	19-dec-1999              	    0	    1A	    6mo2719	09-jan-2001 16:27:58     

    3S/E	    7ICH7163	    1J	        10067	    5POSER	    5PWHRF	    2JF	    0	        20307	        37163	    0	    0	    0	                         	                         	                         	                         	                         	                         	07-dec-2000 00:00:00     	    0	    1A	    6br2464	27-apr-2000 10:36:23     

    2GW	    0	    0	        10241	    5POSER	    5PWHRF	    2ON	    2IM	        20281	        37210	    0	    0	    0	                         	                         	                         	                         	                         	                         	                         	    0	    1A	    6br2464	27-apr-2000 10:36:23     

    2CH	    0	    0	        11259	    5POSER	    5PWHRF	    2JF	    0	            0	            0	    0	    0	    0	                         	                         	31-mar-2000 16:51:30     	                         	                         	                         	                         	    0	    1A	    6br2464	27-apr-2000 10:36:41     

    2CH	    0	    0	        11562	    5POSER	    5PWHRF	    2JF	    0	            0	            0	    0	    0	    0	                         	                         	07-apr-2000 13:31:37     	                         	                         	                         	                         	    0	    1A	    6br2464	27-apr-2000 10:36:45     

    2MM	    0	    0	        11689	    5POSER	    5PWHRF	    2JF	    0	            0	            0	    0	    0	    0	                         	                         	                         	                         	                         	                         	                         	    0	    1A	    6br2464	27-apr-2000 10:36:47     

    2GW	    0	    0	        12160	    5POSER	    5PWHRF	    2WY	    2IM	        16541	        36992	    0	    0	    0	                         	                         	01-may-2000 10:57:46     	                         	                         	                         	                         	    0	    1A	    6ac5067	01-may-2000 10:57:47     

    3S/E	    7BCH8414	    1J	        13368	    5POSER	    5PWHRF	    2JF	    0	        20726	        38414	    0	    0	    0	                         	                         	                         	                         	                         	                         	25-nov-2000 20:00:00     	    0	    1A	    0	02-jun-2000 14:28:49     

    2GW	    0	    0	        14046	    5POSER	    5PWHRF	    2OW	    2EX	         9455	        38611	    0	    0	    0	                         	                         	27-jun-2000 09:19:20     	                         	                         	                         	                         	    0	    1A	    6cu5100	27-jun-2000 09:19:22     

    3S/E	    7STA8711	    1J	        14126	    5POSER	    5PWHRF	    2JF	    0	        20762	        38711	    0	    0	    0	                         	                         	                         	                         	                         	                         	20-jul-2001 00:00:00     	    0	    1A	    0	29-jun-2000 10:33:44     

    2CH	    0	    0	        14280	    5POSER	    5PWHRF	    2JF	    0	            0	            0	    0	    0	    0	                         	                         	04-jul-2000 08:23:05     	                         	                         	                         	                         	    0	    1A	    6cu5100	04-jul-2000 08:28:40     

    2GW	    0	    0	        14440	    5POSER	    5PWHRF	    2JF	    2IM	        19908	        37528	    0	    0	    0	                         	                         	10-jul-2000 12:30:40     	                         	                         	                         	                         	    0	    1A	    6cu5100	10-jul-2000 12:30:41     

    2CH	    0	    0	        15047	    4POPS	    5ADMIN	    0	    0	            0	            0	    0	    0	    0	                         	                         	                         	                         	                         	                         	                         	    0	    1A	    6cu5100	01-aug-2000 11:06:16     

    3S/E	    7TAA9134	    1J	        15364	    5POSER	    5PWHRF	    2JF	    0	        17074	        39134	    0	    0	    0	                         	                         	                         	                         	                         	                         	25-nov-2000 09:05:00     	    0	    1A	    0	09-aug-2000 08:43:33     

    3S/E	    7CHL9140	    1J	        15371	    5POSER	    5PWHRF	    2JF	    0	        16341	        39140	    0	    0	    0	                         	                         	                         	                         	                         	                         	23-nov-2000 06:01:00     	    0	    1A	    0	09-aug-2000 08:47:45     

    3S/E	    7CMP9142	    1J	        15373	    5POSER	    5PWHRF	    2JF	    0	        19385	        39142	    0	    0	    0	                         	                         	                         	                         	                         	                         	05-dec-2000 00:00:00     	    0	    1A	    0	09-aug-2000 08:48:42     

    3S/E	    7FSA9217	    1B	        15583	    4POPS	    3BCT	    0	    0	          917	        39217	    0	    0	    0	                         	23-nov-2000 22:25:17     	                         	                         	                         	                         	23-nov-2000 21:20:00     	    0	    1A	    6ja2589	23-nov-2000 22:25:17     

    2GW	    0	    0	        15657	    4POPS	    3BCT	    0	    2EX	        16388	        38945	    0	    0	    0	                         	                         	                         	                         	                         	                         	                         	    0	    1A	    6ky2599	21-aug-2000 17:12:42     

    3S/E	    7PNN9283	    1F	        15743	    4POPS	    3FCT	    0	    0	           27	        39283	    0	    0	    0	                         	                         	                         	                         	                         	                         	20-feb-2001 12:00:00     	    0	    1A	    0	22-aug-2000 15:37:10     

    2GW	    0	    0	        15804	    5POSER	    5PWHRF	    2ON	    2IM	        20429	        39300	    0	    0	    0	                         	                         	24-aug-2000 10:46:32     	                         	                         	                         	                         	    0	    1A	    6ta5114	24-aug-2000 10:46:34     

    3S/E	    7SCA9308	    1J	        15805	    5POSER	    5PWHRF	    2JF	    0	        20705	        39308	    0	    0	    0	                         	                         	                         	                         	                         	                         	18-feb-2001 00:00:00     	    0	    1A	    0	24-aug-2000 11:07:49     

