            7	    51.5.6	   27<PopsDel>CRANE WAITING TIME	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

           30	    51SC.G	   27Wharfage - Import Container	    2GW	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	27-jun-2000 09:48:33     	                         	    4load	    6he2441	    0	    1A

           44	    31ST	   16Discharge Timber	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

           53	    51TC.G	   29Wharfage - Tranship Container	    2GW	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	28-jun-2000 17:33:22     	                         	    4load	    6he2441	    0	    1A

           71	    52DCSO	   35DLR Load O/D Ship's Crane Container	    6RESHIP	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	27-jun-2000 10:07:08     	                         	    4load	    6he2441	    0	    1A

           94	    32ST	   11Load Timber	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          108	    52TCSO	   39Tranship Load Container O/D Ship'sCrane	    6T/LOAD	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	28-jun-2000 17:36:02     	                         	    4load	    6he2441	    0	    1A

          117	    53SCRO	   32RORO SOB Container O/D Surcharge	    3SOB	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	27-jun-2000 10:24:24     	                         	    4load	    6he2441	    0	    1A

          130	    64YC.RT	   33Tranship Road Receive - Container	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	31-jul-2000 13:08:19     	                         	    4load	    6he2441	    0	    1A

          155	    66YC.FW	   30Wash Container Facility Charge	    8FACILITY	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	27-jul-2000 17:21:36     	                         	    4load	    6he2441	    0	    1A

          169	    66YC.XN	   32Interwharf Lift On O/D Surcharge	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	22-jun-2000 17:39:15     	                         	    4load	    6he2441	    0	    1A

          176	    38PB	   20Break Bulk Demurrage	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	20-jun-2000 15:16:47     	                         	    4load	    6he2441	    0	    1A

          194	    69.8.9L	   28<PopsDel>TIMBER BUNDLES LOAD	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          219	    5A8107	   23Towage 15001-20000 Tons	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	22-jun-2000 17:31:02     	                         	    4load	    6he2441	    0	    1A

          233	    5A9200	   11Vessel Move	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	22-jun-2000 17:35:03     	                         	    4load	    6he2441	    0	    1A

          240	    5A9262	   12Hydrographer	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	26-jun-2000 17:56:34     	                         	    4load	    6he2441	    0	    1A

          264	    5A9507	   17Passenger Baggage	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	31-oct-2000 10:02:34     	                         	    4load	    6he2441	    0	    1A

          273	    6B003IM	   20<PopsDel>CRUSTACEANS	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          291	    6B014EX	    4MEAT	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          314	    6B027IM	   15OTHER DRY DAIRY	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          328	    6B039EX	   20<PopsDel>OTHER GRAIN	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          337	    6B043IM	   19<PopsDel>CORNFLOURS	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          355	    6B056EX	   24<PopsDel>PRESERVED VEGES	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          378	    6B074EX	   11FRESH FRUIT	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          397	    6B085EX	   14<PopsDel>WINES	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          404	    6B088IM	    9BEVERAGES	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          422	    6B099IM	   10FOODSTUFFS	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          447	    6B116EX	   17<PopsDel>CHARCOAL	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

