    3AAE	    2DZ	    3AAE	    6ANNABA	    6br2464	09-jun-2000 12:29:22     

    3ABD	    2IR	    3ABD	    6ABADAN	    6CH2203	27-sep-1994 15:54:39     

    3ABJ	    2CI	    3ABJ	    7ABIDJAN	    6br2464	09-jun-2000 12:29:22     

    3ACR	    2ES	    3ACR	    9ALGECIRAS	    6br2464	09-jun-2000 12:29:22     

    3ADE	    2YE	    3ADE	    4ADEN	    6br2464	09-jun-2000 12:29:22     

    3ADL	    2AU	    3ADL	    8ADELAIDE	    6OMSONE	14-apr-1992 02:09:23     

    3AHR	    2DK	    3AHR	    6AARHUS	    6OMSONE	03-jun-1992 01:07:05     

    3AIT	    2CK	    3AIT	    8AITUTAKI	    6CH2203	27-sep-1994 15:55:03     

    3AJU	    2SV	    3AQJ	    8ACAJUTLA	    6CH2203	10-jul-1995 13:41:10     

    3AKL	    2NZ	    3AKL	    8AUCKLAND	    6OMSONE	14-apr-1992 02:09:54     

    3ALG	    2ES	    3ALG	    9ALGECIRAS	    6CH2203	27-sep-1994 15:55:29     

    3ALY	    2EG	    3ALY	   10ALEXANDRIA	    6OMSONE	14-apr-1992 02:10:13     

    3AMS	    2NL	    3AMS	    9AMSTERDAM	    3OMS	05-aug-1993 21:14:14     

    3ANR	    2BE	    3ANR	    9ANTWERPEN	    6CH2203	27-sep-1994 15:55:53     

    3ANU	    2AG	    3ANU	    7ANTIGUA	    6CH2203	27-sep-1994 15:56:10     

    3AOI	    2IT	    3AOI	    6ANCONA	    6br2464	09-jun-2000 12:29:22     

    3APP	    2NG	    3APP	    5APAPA	    6br2464	09-jun-2000 12:29:22     

    3APW	    2WS	    3APW	    4APIA	    6OMSONE	14-apr-1992 02:11:07     

    3AQB	    2JO	    3AQB	    5AQABA	    6OMSONE	14-apr-1992 02:11:29     

    3AQJ	    2JO	    3AQJ	    5AQABA	    6CH2203	10-jul-1995 13:48:39     

    3ARD	    2AU	    3ARD	   13ARDROSSAN, SA	    5PACTS	17-nov-1999 18:11:55     

    3ASC	    2SH	    3ASC	   21ASCENCION (ST HELENA)	    8WHITBURN	24-aug-1992 01:40:12     

    3ASG	    2NZ	    3ASG	    9ASHBURTON	    6CH2203	01-apr-1999 11:54:13     

    3ASH	    2IL	    3ASH	    5ASHOD	    6OMSONE	14-apr-1992 02:09:37     

    3ATL	    2US	    3ATL	    7ATLANTA	    6OMSONE	15-apr-1992 05:45:58     

    3ATM	    2MX	    3ATM	    8ALTAMIRA	    6br2464	09-jun-2000 12:29:22     

    3AUH	    2AE	    3AUH	    9ABU DHABI	    6br2464	09-jun-2000 12:29:22     

    3BAH	    2BH	    3BAH	    7BAHRAIN	    6OMSONE	14-apr-1992 02:14:23     

    3BAL	    2US	    3BAL	    9BALTIMORE	    6OMSONE	14-apr-1992 02:13:41     

    3BAY	    2CN	    3BAY	    8BAYUQUAN	    6br2464	09-jun-2000 12:29:22     

    3BBY	    2AU	    3BEL	    8BELL BAY	    6BR2464	09-mar-2000 16:21:27     

    3BCN	    2ES	    3BCN	    9BARCELONA	    6OMSONE	14-apr-1992 02:14:07     

    3BDA	    2BM	    3BDA	   17HAMILTON, BERMUDA	    6CH2203	27-sep-1994 15:56:28     

    3BEL	    2GB	    3BEL	    7BELFAST	    6OMSONE	15-apr-1992 06:28:11     

    3BEN	    2LY	    3BEN	   18BENGHAZI (BINGAZI)	    6br2464	09-jun-2000 12:29:22     

    3BEW	    2MZ	    3BEW	    5BEIRA	    3OMS	09-mar-1993 01:20:49     

    3BEY	    2LB	    3BEY	    6BEIRUT	    6br2464	09-jun-2000 12:29:22     

    3BGI	    2BB	    3BGI	   10BRIDGETOWN	    6OMSONE	14-apr-1992 02:52:06     

    3BIO	    2ES	    3BIO	    6BILBAO	    6br2464	09-jun-2000 12:29:22     

    3BJA	    2DZ	    3BJA	    6BEJAIA	    6br2464	09-jun-2000 12:29:22     

    3BKI	    2MY	    3BKI	   13KOTA KINABALU	    6OMSONE	14-apr-1992 03:42:11     

    3BKK	    2TH	    3BKK	    7BANGKOK	    6OMSONE	14-apr-1992 02:16:20     

    3BLB	    2PA	    3BLB	    6BALBOA	    6OMSONE	14-apr-1992 02:16:37     

    3BLF	    2NZ	    3BLU	    5BLUFF	    6CH2203	10-jul-1995 13:49:57     

    3BLW	    2ID	    3BLW	    7BELAWAN	    6OMSONE	14-apr-1992 02:52:24     

    3BLZ	    2MW	    3BLZ	    8BLANTYRE	    6br2464	09-jun-2000 12:29:22     

    3BNC	    2US	    3BNC	   11BENICIA, CA	    6HE2441	19-nov-1999 16:54:37     

    3BND	    2IR	    3BND	   12BANDAR ABBAS	    6br2464	09-jun-2000 12:29:22     

    3BNE	    2AU	    3BNE	    8BRISBANE	    6OMSONE	14-apr-1992 02:13:51     

    3BOD	    2FR	    3BOD	    8BORDEAUX	    6OMSONE	15-apr-1992 06:06:52     

    3BOM	    2IN	    3BOM	    6BOMBAY	    6OMSONE	14-apr-1992 02:16:04     

    3BOS	    2US	    3BOS	    6BOSTON	    6OMSONE	14-apr-1992 02:49:22     

    3BRE	    2DE	    3BRE	    6BREMEN	    6OMSONE	14-apr-1992 02:33:50     

    3BRR	    2NL	    3BRR	   11BARENDRECHT	    6CH2203	11-apr-2000 14:19:04     

    3BRS	    2GB	    3BRS	    7BRISTOL	    6HE2441	16-dec-1999 11:49:52     

    3BRV	    2DE	    3BRV	   11BREMERHAVEN	    6OMSONE	14-apr-1992 02:33:01     

    3BTB	    2AU	    3BTB	   14BOTANY BAY, NS	    5PACTS	17-nov-1999 18:12:17     

    3BTN	    2BN	    3BTN	    6BRUNEI	    6OMSONE	14-apr-1992 02:49:06     

    3BTU	    2MY	    3BTU	    7BINTULU	    6br2464	09-jun-2000 12:29:22     

    3BUE	    2AR	    3BUE	   12BUENOS AIRES	    6OMSONE	14-apr-1992 02:50:40     

    3BUN	    2CO	    3BUN	   12BUENAVENTURA	    6br2464	09-jun-2000 12:29:22     

    3BUR	    2AU	    3BUR	    6BURNIE	    6OMSONE	14-apr-1992 02:49:37     

    3BZE	    2BZ	    3BZE	   11BELIZE CITY	    6CH2203	27-sep-1994 15:56:43     

    3CAD	    2ES	    3CAD	    5CADIZ	    6OMSONE	14-apr-1992 02:54:38     

    3CAI	    2EG	    3CAI	    5CAIRO	    8WHITBURN	24-aug-1992 01:37:18     

    3CAN	    2CN	    3CAN	    9GUANGZHOU	    6br2464	09-jun-2000 12:29:22     

    3CAS	    2MA	    3CAS	   10CASABLANCA	    6br2464	09-jun-2000 12:29:22     

    3CCU	    2IN	    3CCU	    8CALCUTTA	    8WHITBURN	15-sep-1992 21:41:57     

    3CEB	    2PH	    3CEB	    4CEBU	    6OMSONE	14-apr-1992 02:54:50     

    3CGP	    2BD	    3CGP	   10CHITTAGONG	    6OMSONE	14-apr-1992 02:55:25     

    3CGQ	    2CN	    3CGQ	    8HSINKANG	    6CH2203	27-sep-1994 15:57:07     

    3CGY	    2PH	    3CGY	   14CAGAYAN DE ORO	    6br2464	09-jun-2000 12:29:22     

    3CHB	    2JP	    3CHB	    5CHIBA	    6HE2441	19-nov-1999 16:46:54     

    3CHI	    2US	    3CHI	    7CHICAGO	    6OMSONE	15-apr-1992 05:59:46     

    3CHM	    2CA	    3CHM	   13CHEMAINUS, BC	    5PACTS	17-nov-1999 18:13:28     

    3CHQ	    2CN	    3CHQ	    7XINGANG	    6CH2203	27-sep-1994 15:57:49     

    3CHS	    2US	    3CHS	   10CHARLESTON	    6OMSONE	14-apr-1992 02:55:39     

    3CHT	    2NZ	    3CHT	   15CHATHAM ISLANDS	    6HE2441	19-nov-1999 16:59:23     

    3CHZ	    2CN	    3CHZ	    8CHAGZHOU	    3OMS	02-feb-1994 21:03:34     

    3CLL	    2PE	    3CLL	    6CALLAO	    6CH2203	29-oct-1998 14:02:21     

    3CMB	    2LK	    3CMB	    7COLOMBO	    6OMSONE	14-apr-1992 03:08:49     

    3CND	    2RO	    3CND	   10CONSTANTZA	    6br2464	09-jun-2000 12:29:22     

    3CNS	    2AU	    3CNS	    6CAIRNS	    6OMSONE	14-apr-1992 02:55:50     

    3COB	    2US	    3COB	   12COOS BAY, OR	    6CH2203	27-sep-1994 15:58:23     

    3COI	    2CK	    3COI	   12COOK ISLANDS	    6br2464	13-apr-2000 12:14:42     

    3COK	    2IN	    3COK	    6COCHIN	    6OMSONE	14-apr-1992 02:54:23     

    3CPH	    2DK	    3CPH	   21COPENHAGEN/ KOBENHAVN	    6OMSONE	15-apr-1992 06:17:19     

    3CPT	    2ZA	    3CPT	    9CAPE TOWN	    6OMSONE	14-apr-1992 03:09:03     

    3CRO	    2CA	    3CRO	   11CROFTON, BC	    5PACTS	17-nov-1999 18:13:48     

    3CSX	    2CN	    3CSX	    8CHANGSHA	    6br2464	09-jun-2000 12:29:22     

    3CTB	    2PA	    3CTB	    9CRISTOBAL	    6CH2203	27-sep-1994 15:58:56     

    3CTG	    2CO	    3CTG	    9CARTAGENA	    6br2464	09-jun-2000 12:29:22     

    3CTM	    2CA	    3CTM	    9CHATHAM  	    6br2464	09-jun-2000 12:29:22     

    3CTU	    2CN	    3CTU	    7CHENGDU	    6br2464	09-jun-2000 12:29:22     

    3CUR	    2AN	    3CUR	    7CURACAO	    6CH2203	27-sep-1994 15:59:18     

    3CWN	    2CN	    3CWN	    6CHIWAN	    6CH2203	09-may-2000 14:42:55     

    3DAD	    2VN	    3DAD	    7DANANG 	    6br2464	09-jun-2000 12:29:22     

    3DAM	    2EG	    3DAM	    8DAMIETTA	    5PACTS	18-oct-1999 11:53:21     

    3DAR	    2TZ	    3DAR	   13DAR ES SALAAM	    3OMS	09-mar-1993 01:24:33     

    3DET	    2US	    3DET	    7DETROIT	    6OMSONE	15-apr-1992 06:01:41     

    3DIL	    2ID	    3DIL	    4DILI	    5PACTS	14-apr-2000 09:48:53     

    3DKK	    2FR	    3DKK	    9DUNKERQUE	    6OMSONE	14-apr-1992 03:09:50     

    3DKR	    2SN	    3DKR	    5DAKAR	    6br2464	09-jun-2000 12:29:22     

    3DLC	    2CN	    3DLC	    6DALIAN	    6br2464	09-jun-2000 12:29:22     

    3DMN	    2SA	    3DMN	    6DAMMAM	    6CH2203	27-sep-1994 15:59:31     

    3DOH	    2QA	    3DOH	    4DOHA	    6br2464	09-jun-2000 12:29:22     

    3DON	    2NC	    3DON	    8DONIANBO	    6CH2203	13-nov-1997 10:38:16     

    3DPO	    2AU	    3DPO	    9DEVONPORT	    6OMSONE	14-apr-1992 03:10:26     

    3DRW	    2AU	    3DRW	    6DARWIN	    5PACTS	30-mar-2000 11:07:23     

    3DUB	    2IE	    3DUB	    6DUBLIN	    6OMSONE	15-apr-1992 06:29:41     

    3DUD	    2NZ	    3DUD	   21DUNEDIN-PORT CHALMERS	    6CH2203	27-sep-1994 15:59:51     

    3DUR	    2ZA	    3DUR	    6DURBAN	    6OMSONE	14-apr-1992 03:10:00     

    3DVO	    2PH	    3DVO	    5DAVAO	    6HE2441	19-nov-1999 16:44:10     

    3DXB	    2AE	    3DXB	    5DUBAI	    6OMSONE	14-apr-1992 03:09:34     

    3EBE	    2MH	    3EBE	    5EBEYE	    6CH2203	10-jul-1995 13:52:02     

    3ELS	    2ZA	    3ELS	   11EAST LONDON	    3OMS	09-mar-1993 01:12:36     

    3ETH	    2IL	    3ETH	    4ELAT	    6OMSONE	14-apr-1992 03:18:32     

    3EUO	    2XZ	    3EUO	   15EUROPE OPTIONAL	    6CH2203	29-oct-1998 14:08:23     

    3FDF	    2MQ	    3FDF	   14FORT DE FRANCE	    6CH2203	27-sep-1994 16:00:11     

    3FLU	    2US	    3FLU	    8FLUSHING	    6CH2203	27-sep-1994 16:00:50     

    3FNB	    2JP	    3FNB	   16FUNABASHI, CHIBA	    6HE2441	19-nov-1999 16:47:14     

    3FOC	    2CN	    3FOC	   14FUZHOU (MAWEI)	    6br2464	09-jun-2000 12:29:22     

    3FOS	    2FR	    3FOS	   11FOS-SUR-MER	    6CH2203	27-sep-1994 16:01:11     

    3FPO	    2BS	    3FPO	    8FREEPORT	    6br2464	09-jun-2000 12:29:22     

    3FRE	    2AU	    3FRE	    9FREMANTLE	    6OMSONE	14-apr-1992 03:24:00     

    3FRP	    2US	    3FRP	   12FREEPORT, TX	    6HE2441	19-nov-1999 16:55:35     

    3FUN	    2TV	    3FUN	    8FUNAFUTI	    6CH2203	27-sep-1994 16:01:27     

    3FUT	    2WF	    3FUT	    6FUTUNA	    6CH2203	27-sep-1994 16:01:39     

    3FXT	    2GB	    3FXT	   10FELIXSTOWE	    6OMSONE	14-apr-1992 07:41:03     

    3GBZ	    2NZ	    3GBZ	   16GREAT BARRIER IS	    5PACTS	17-nov-1999 18:05:57     

    3GCM	    2KY	    3GCM	   12GRAND CAYMAN	    6CH2203	28-sep-1994 12:03:17     

    3GDY	    2PL	    3GDY	    6GDYNIA	    6OMSONE	14-apr-1992 03:24:50     

    3GEO	    2GY	    3GEO	   10GEORGETOWN	    6br2464	09-jun-2000 12:29:22     

    3GEX	    2AU	    3GEX	    7GEELONG	    6OMSONE	14-apr-1992 03:25:36     

    3GIB	    2GI	    3GIB	    9GIBRALTAR	    6br2464	09-jun-2000 12:29:22     

    3GIS	    2NZ	    3GIS	    8GISBORNE	    6OMSONE	14-apr-1992 03:25:25     

    3GLS	    2US	    3GLS	    9GALVESTON	    6CH2203	28-sep-1994 12:03:32     

    3GMN	    2NZ	    3GMN	    9GREYMOUTH	    6br2464	01-may-2000 16:30:24     

    3GND	    2GD	    3GND	    7GRENADA	    6CH2203	28-sep-1994 12:03:57     

    3GOA	    2IT	    3GOA	    5GENOA	    6OMSONE	14-apr-1992 03:25:58     

    3GOT	    2SE	    3GOT	   10GOTHENBURG	    6OMSONE	14-apr-1992 03:26:54     

    3GPT	    2US	    3GPT	   12GULFPORT, MS	    6CH2203	28-sep-1994 12:04:12     

    3GRB	    2US	    3GRB	   20GREEN BAY, WISCONSIN	    6br2464	09-jun-2000 12:29:22     

    3GRX	    2ES	    3GRX	   14GRANADA, SPAIN	    6CH2203	28-sep-1994 12:04:33     

    3GTE	    2AU	    3GTE	   14GROOTE EYLANDT	    6OMSONE	14-apr-1992 03:25:11     

    3GUI	    2VE	    3GUI	    5GUIRA	    6OMSONE	14-apr-1992 03:27:04     

    3GUM	    2GU	    3GUM	    4GUAM	    6OMSONE	14-apr-1992 03:25:46     

    3GUR	    2PG	    3GUR	    6ALOTAU	    5PACTS	20-apr-1998 15:29:43     

    3GYE	    2EC	    3GYE	    9GUAYAQUIL	    6OMSONE	14-apr-1992 03:28:54     

    3HAB	    2JP	    3HAB	   15HABU, HIROSHIMA	    6CH2203	10-jul-1995 13:53:59     

    3HAI	    2DO	    3HAI	    9RIO HAINA	    6br2464	09-jun-2000 12:29:22     

    3HAL	    2CA	    3HAL	    7HALIFAX	    6OMSONE	14-apr-1992 03:31:13     

    3HAM	    2DE	    3HAM	    7HAMBURG	    6MO2719	23-sep-1999 14:38:05     

    3HAV	    2CU	    3HAV	    6HABANA	    6CH2203	10-jul-1995 13:54:44     

    3HBA	    2AU	    3HBA	    6HOBART	    6OMSONE	15-apr-1992 05:13:40     

    3HEL	    2FI	    3HEL	    8HELSINKI	    6OMSONE	15-apr-1992 06:20:02     

    3HFA	    2IL	    3HFA	    5HAIFA	    6OMSONE	14-apr-1992 03:30:30     

    3HIJ	    2JP	    3HIJ	    9HIROSHIMA	    6br2464	09-jun-2000 12:29:22     

    3HIM	    2JP	    3HIM	   13HIMEJI, HYOGO	    6HE2441	19-nov-1999 16:47:39     

    3HIR	    2SB	    3HIR	    7HONIARA	    6OMSONE	14-apr-1992 03:29:10     

    3HKD	    2JP	    3HKD	    8HAKODATE	    6OMSONE	14-apr-1992 03:30:18     

    3HKG	    2HK	    3HKG	    9HONG KONG	    6OMSONE	14-apr-1992 03:30:56     

    3HKI	    2JP	    3HKI	    6HAKATA	    6OMSONE	14-apr-1992 03:32:32     

    3HMN	    2CA	    3HMN	    8HAMILTON	    6br2464	09-jun-2000 12:29:22     

    3HNL	    2US	    3HNL	    8HONOLULU	    6OMSONE	14-apr-1992 03:33:03     

    3HOD	    2YE	    3HOD	    8HODEIDAH	    6CH2203	10-jul-1995 13:55:31     

    3HOR	    2DK	    3HOR	    7HORSENS	    6br2464	09-jun-2000 12:29:22     

    3HOU	    2US	    3HOU	    7HOUSTON	    6OMSONE	14-apr-1992 03:32:46     

    3HPH	    2VN	    3HPH	    8HAIPHONG	    6br2464	09-jun-2000 12:29:22     

    3HRE	    2ZW	    3HRE	    6HARARE	    3OMS	09-mar-1993 01:26:46     

    3HRG	    2NZ	    3HRG	   20HAURAKI GULF ISLANDS	    6HE2441	19-nov-1999 16:42:35     

    3HUA	    2CN	    3HUA	    7HUANGPU	    5PACTS	08-jul-1999 12:59:50     

    3HUD	    2CN	    3HUD	    6HUA DU	    6CH2203	07-jul-1999 12:51:19     

    3HUL	    2GB	    3HUL	    4HULL	    6CH2203	12-mar-1999 16:08:50     

    3ILG	    2US	    3ILG	   21WILMINGTON (DELAWARE)	    6OMSONE	21-may-1992 08:06:12     

    3INC	    2KR	    3INC	    7INCHEUN	    6OMSONE	14-apr-1992 03:33:23     

    3IOM	    2GB	    3IOM	   12ISLE OF MANN	    5PACTS	17-nov-1999 18:15:14     

