            6	   12baselineview	    8Baseline	            3	    1N	            0	16-mar-1994 05:56:48     	            3	16-mar-1994 05:56:48     	            3	]^NULL^[                 	    8]^NULL^[

            8	   12develop view	    7Working	            3	    1N	            6	16-mar-1994 06:02:12     	            3	16-mar-1994 06:02:28     	            3	]^NULL^[                 	    8]^NULL^[

            9	    7qa view	    7Working	            3	    1N	            6	16-mar-1994 06:02:13     	            3	16-mar-1994 06:02:38     	            3	]^NULL^[                 	    8]^NULL^[

           10	   12baselineview	    8Baseline	            5	    1N	            0	18-mar-1994 01:39:13     	            3	18-mar-1994 01:39:13     	            3	]^NULL^[                 	    8]^NULL^[

           11	   12develop view	    7Working	            5	    1N	           10	18-mar-1994 01:39:13     	            3	18-mar-1994 01:39:13     	            3	]^NULL^[                 	    8]^NULL^[

           12	    7qa view	    7Working	            5	    1N	           10	18-mar-1994 01:39:13     	            3	18-mar-1994 01:39:13     	            3	]^NULL^[                 	    8]^NULL^[

           15	   12baselineview	    8Baseline	            8	    1N	            0	01-apr-1994 08:07:43     	            2	01-apr-1994 08:07:43     	            2	]^NULL^[                 	    8]^NULL^[

           19	   12baselineview	    8Baseline	           10	    1N	            0	07-apr-1994 00:07:40     	            2	07-apr-1994 00:07:40     	            2	]^NULL^[                 	    8]^NULL^[

           20	   12develop view	    7Working	           10	    1N	           19	07-apr-1994 00:07:40     	            2	07-apr-1994 00:07:40     	            2	]^NULL^[                 	    8]^NULL^[

           21	    7qa view	    7Working	           10	    1N	           19	07-apr-1994 00:07:40     	            2	07-apr-1994 00:07:40     	            2	]^NULL^[                 	    8]^NULL^[

           23	   12baselineview	    8Baseline	           12	    1N	            0	05-may-1994 00:32:07     	            2	05-may-1994 00:32:07     	            2	]^NULL^[                 	    8]^NULL^[

           24	   12develop view	    7Working	           12	    1N	           23	05-may-1994 00:32:07     	            2	05-may-1994 00:32:07     	            2	]^NULL^[                 	    8]^NULL^[

           25	    7qa view	    7Working	           12	    1N	           23	05-may-1994 00:32:07     	            2	05-may-1994 00:32:07     	            2	]^NULL^[                 	    8]^NULL^[

           26	   12baselineview	    8Baseline	           13	    1N	            0	11-may-1994 10:03:58     	            3	11-may-1994 10:03:58     	            3	]^NULL^[                 	    8]^NULL^[

           27	   12develop view	    7Working	           13	    1N	           26	11-may-1994 10:03:58     	            3	11-may-1994 10:05:34     	            3	]^NULL^[                 	    8]^NULL^[

           28	    7qa view	    7Working	           13	    1N	           26	11-may-1994 10:03:58     	            3	11-may-1994 10:03:58     	            3	]^NULL^[                 	    8]^NULL^[

           29	   12baselineview	    8Baseline	           14	    1N	            0	17-jul-1994 06:09:12     	            3	17-jul-1994 06:09:12     	            3	]^NULL^[                 	    8]^NULL^[

           30	    8dev view	    7Working	           14	    1N	           29	17-jul-1994 06:09:12     	            3	12-aug-1994 23:34:47     	            3	]^NULL^[                 	    8]^NULL^[

           31	   12release view	    7Working	           14	    1N	           29	17-jul-1994 06:09:12     	            3	12-aug-1994 06:38:11     	            3	]^NULL^[                 	    8]^NULL^[

           35	   12baselineview	    8Baseline	           16	    1N	            0	17-jul-1994 06:09:47     	            3	17-jul-1994 06:09:47     	            3	]^NULL^[                 	    8]^NULL^[

           36	   12develop view	    7Working	           16	    1N	           35	17-jul-1994 06:09:47     	            3	17-jul-1994 06:09:47     	            3	]^NULL^[                 	    8]^NULL^[

           37	    7qa view	    7Working	           16	    1N	           35	17-jul-1994 06:09:47     	            3	17-jul-1994 06:09:47     	            3	]^NULL^[                 	    8]^NULL^[

           38	   12baselineview	    8Baseline	           17	    1N	            0	22-jul-1994 01:33:33     	            3	22-jul-1994 01:33:33     	            3	]^NULL^[                 	    8]^NULL^[

           39	   12baselineview	    8Baseline	           18	    1N	            0	22-jul-1994 06:07:20     	            3	22-jul-1994 06:07:20     	            3	]^NULL^[                 	    8]^NULL^[

           40	   11development	    7Working	            8	    1N	           15	02-aug-1994 23:44:04     	            3	02-aug-1994 23:44:18     	            3	]^NULL^[                 	    8]^NULL^[

           41	    7release	    7Working	            8	    1N	           15	02-aug-1994 23:44:21     	            3	02-aug-1994 23:44:29     	            3	]^NULL^[                 	    8]^NULL^[

           42	    9test view	    7Working	           14	    1N	           29	12-aug-1994 06:15:35     	            3	12-aug-1994 06:37:59     	            3	]^NULL^[                 	    8]^NULL^[

           43	   13dev test view	    7Working	           14	    1N	           29	18-aug-1994 07:05:11     	            3	18-aug-1994 07:05:24     	            3	]^NULL^[                 	    8]^NULL^[

           45	   12baselineview	    8Baseline	           20	    1N	            0	25-aug-1994 08:30:15     	            3	25-aug-1994 08:30:15     	            3	]^NULL^[                 	    8]^NULL^[

           46	    8dev view	    7Working	           20	    1N	           45	25-aug-1994 08:30:15     	            3	25-aug-1994 08:30:15     	            3	]^NULL^[                 	    8]^NULL^[

           47	   12release view	    7Working	           20	    1N	           45	25-aug-1994 08:30:15     	            3	25-aug-1994 08:30:15     	            3	]^NULL^[                 	    8]^NULL^[

           48	    9test view	    7Working	           20	    1N	           45	25-aug-1994 08:30:15     	            3	25-aug-1994 08:30:15     	            3	]^NULL^[                 	    8]^NULL^[

           49	   13dev test view	    7Working	           20	    1N	           45	25-aug-1994 08:30:15     	            3	25-aug-1994 08:30:15     	            3	]^NULL^[                 	    8]^NULL^[

           53	   12baselineview	    8Baseline	           23	    1N	            0	17-sep-1994 08:32:35     	            3	17-sep-1994 08:32:35     	            3	]^NULL^[                 	    8]^NULL^[

           54	    8dev view	    7Working	           23	    1N	           53	17-sep-1994 08:32:35     	            3	17-sep-1994 08:32:35     	            3	]^NULL^[                 	    8]^NULL^[

           55	   12release view	    7Working	           23	    1N	           53	17-sep-1994 08:32:35     	            3	17-sep-1994 08:32:35     	            3	]^NULL^[                 	    8]^NULL^[

           56	    9test view	    7Working	           23	    1N	           53	17-sep-1994 08:32:35     	            3	17-sep-1994 08:32:35     	            3	]^NULL^[                 	    8]^NULL^[

           57	   13dev test view	    7Working	           23	    1N	           53	17-sep-1994 08:32:35     	            3	17-sep-1994 08:32:35     	            3	]^NULL^[                 	    8]^NULL^[

           63	   12baselineview	    8Baseline	           25	    1N	            0	29-sep-1994 05:57:53     	            6	29-sep-1994 05:57:53     	            6	]^NULL^[                 	    8]^NULL^[

           64	    8dev view	    7Working	           25	    1N	           63	29-sep-1994 05:57:53     	            6	29-sep-1994 05:57:53     	            6	]^NULL^[                 	    8]^NULL^[

           65	   12release view	    7Working	           25	    1N	           63	29-sep-1994 05:57:53     	            6	29-sep-1994 05:57:53     	            6	]^NULL^[                 	    8]^NULL^[

           66	    9test view	    7Working	           25	    1N	           63	29-sep-1994 05:57:53     	            6	29-sep-1994 05:57:53     	            6	]^NULL^[                 	    8]^NULL^[

           67	   13dev test view	    7Working	           25	    1N	           63	29-sep-1994 05:57:53     	            6	21-dec-1994 08:29:08     	            9	]^NULL^[                 	    8]^NULL^[

           68	   12baselineview	    8Baseline	           26	    1N	            0	01-oct-1994 07:13:22     	           11	01-oct-1994 07:13:22     	           11	]^NULL^[                 	    8]^NULL^[

           69	    8dev view	    7Working	           26	    1N	           68	01-oct-1994 07:13:22     	           11	01-oct-1994 07:13:22     	           11	]^NULL^[                 	    8]^NULL^[

           70	   12release view	    7Working	           26	    1N	           68	01-oct-1994 07:13:22     	           11	01-oct-1994 07:13:22     	           11	]^NULL^[                 	    8]^NULL^[

           71	    9test view	    7Working	           26	    1N	           68	01-oct-1994 07:13:22     	           11	01-oct-1994 07:13:22     	           11	]^NULL^[                 	    8]^NULL^[

           72	   13dev test view	    7Working	           26	    1N	           68	01-oct-1994 07:13:22     	           11	01-oct-1994 07:13:22     	           11	]^NULL^[                 	    8]^NULL^[

           74	   12baselineview	    8Baseline	           28	    1N	            0	12-oct-1994 07:45:35     	            3	12-oct-1994 07:45:35     	            3	]^NULL^[                 	    8]^NULL^[

           75	   12baselineview	    8Baseline	           29	    1N	            0	27-oct-1994 00:32:26     	            3	27-oct-1994 00:32:26     	            3	]^NULL^[                 	    8]^NULL^[

           76	    8dev view	    7Working	           29	    1N	           75	27-oct-1994 00:32:26     	            3	27-oct-1994 00:32:26     	            3	]^NULL^[                 	    8]^NULL^[

           77	   12release view	    7Working	           29	    1N	           75	27-oct-1994 00:32:26     	            3	27-oct-1994 00:32:26     	            3	]^NULL^[                 	    8]^NULL^[

           78	    9test view	    7Working	           29	    1N	           75	27-oct-1994 00:32:26     	            3	27-oct-1994 00:32:26     	            3	]^NULL^[                 	    8]^NULL^[

           79	   13dev test view	    7Working	           29	    1N	           75	27-oct-1994 00:32:26     	            3	27-oct-1994 00:32:26     	            3	]^NULL^[                 	    8]^NULL^[

           97	   12baselineview	    8Baseline	           36	    1N	            0	15-dec-1994 02:31:26     	           10	15-dec-1994 02:31:26     	           10	]^NULL^[                 	    8]^NULL^[

           98	   12baselineview	    8Baseline	           37	    1N	            0	17-dec-1994 09:55:44     	            3	17-dec-1994 09:55:44     	            3	]^NULL^[                 	    8]^NULL^[

           99	    8dev view	    7Working	           37	    1N	           98	17-dec-1994 09:55:44     	            3	17-dec-1994 09:55:44     	            3	]^NULL^[                 	    8]^NULL^[

          100	   12release view	    7Working	           37	    1N	           98	17-dec-1994 09:55:44     	            3	17-dec-1994 09:55:44     	            3	]^NULL^[                 	    8]^NULL^[

          101	    9test view	    7Working	           37	    1N	           98	17-dec-1994 09:55:44     	            3	17-dec-1994 09:55:44     	            3	]^NULL^[                 	    8]^NULL^[

          102	   13dev test view	    7Working	           37	    1N	           98	17-dec-1994 09:55:44     	            3	17-dec-1994 09:55:44     	            3	]^NULL^[                 	    8]^NULL^[

          103	   12baselineview	    8Baseline	           38	    1N	            0	19-dec-1994 01:46:58     	            3	19-dec-1994 01:46:58     	            3	]^NULL^[                 	    8]^NULL^[

          104	    8dev view	    7Working	           38	    1N	          103	19-dec-1994 01:46:58     	            3	19-dec-1994 01:46:58     	            3	]^NULL^[                 	    8]^NULL^[

          105	   12release view	    7Working	           38	    1N	          103	19-dec-1994 01:46:58     	            3	19-dec-1994 01:46:58     	            3	]^NULL^[                 	    8]^NULL^[

          106	    9test view	    7Working	           38	    1N	          103	19-dec-1994 01:46:58     	            3	19-dec-1994 01:46:58     	            3	]^NULL^[                 	    8]^NULL^[

          107	   13dev test view	    7Working	           38	    1N	          103	19-dec-1994 01:46:58     	            3	19-dec-1994 01:46:58     	            3	]^NULL^[                 	    8]^NULL^[

          118	   12baselineview	    8Baseline	           44	    1N	            0	07-mar-1995 07:35:16     	            3	07-mar-1995 07:35:16     	            3	]^NULL^[                 	    8]^NULL^[

          119	   12baselineview	    8Baseline	           45	    1N	            0	07-mar-1995 07:36:25     	            3	07-mar-1995 07:36:25     	            3	]^NULL^[                 	    8]^NULL^[

          121	   12baselineview	    8Baseline	           47	    1N	            0	07-mar-1995 07:37:48     	            3	07-mar-1995 07:37:48     	            3	]^NULL^[                 	    8]^NULL^[

          122	   12baselineview	    8Baseline	           48	    1N	            0	07-mar-1995 07:38:22     	            3	07-mar-1995 07:38:22     	            3	]^NULL^[                 	    8]^NULL^[

          173	   12baselineview	    8Baseline	           52	    1N	            0	22-jun-1995 08:51:54     	            3	22-jun-1995 08:51:54     	            3	]^NULL^[                 	    8]^NULL^[

          174	    8dev view	    7Working	           52	    1N	          173	22-jun-1995 08:51:54     	            3	22-jun-1995 08:51:54     	            3	]^NULL^[                 	    8]^NULL^[

          175	   12release view	    7Working	           52	    1N	          173	22-jun-1995 08:51:54     	            3	22-jun-1995 08:51:54     	            3	]^NULL^[                 	    8]^NULL^[

          176	    9test view	    7Working	           52	    1N	          173	22-jun-1995 08:51:54     	            3	22-jun-1995 08:51:54     	            3	]^NULL^[                 	    8]^NULL^[

          177	   13dev test view	    7Working	           52	    1N	          173	22-jun-1995 08:51:54     	            3	22-jun-1995 08:51:54     	            3	]^NULL^[                 	    8]^NULL^[

          181	   12baselineview	    8Baseline	           53	    1N	            0	28-jun-1995 00:40:13     	            3	28-jun-1995 00:40:13     	            3	]^NULL^[                 	    8]^NULL^[

          182	    8dev view	    7Working	           53	    1N	          181	28-jun-1995 00:40:13     	            3	28-jun-1995 00:40:13     	            3	]^NULL^[                 	    8]^NULL^[

          183	   12release view	    7Working	           53	    1N	          181	28-jun-1995 00:40:13     	            3	28-jun-1995 00:40:13     	            3	]^NULL^[                 	    8]^NULL^[

          184	    9test view	    7Working	           53	    1N	          181	28-jun-1995 00:40:13     	            3	28-jun-1995 00:40:13     	            3	]^NULL^[                 	    8]^NULL^[

          185	   13dev test view	    7Working	           53	    1N	          181	28-jun-1995 00:40:13     	            3	28-jun-1995 00:40:13     	            3	]^NULL^[                 	    8]^NULL^[

          202	   12baselineview	    8Baseline	           58	    1N	            0	16-aug-1995 12:38:03     	            3	16-aug-1995 12:38:03     	            3	]^NULL^[                 	    8]^NULL^[

          203	    8dev view	    7Working	           58	    1N	          202	16-aug-1995 12:38:03     	            3	16-aug-1995 12:38:03     	            3	]^NULL^[                 	    8]^NULL^[

          204	   12release view	    7Working	           58	    1N	          202	16-aug-1995 12:38:03     	            3	16-aug-1995 12:38:03     	            3	]^NULL^[                 	    8]^NULL^[

          205	    9test view	    7Working	           58	    1N	          202	16-aug-1995 12:38:03     	            3	16-aug-1995 12:38:03     	            3	]^NULL^[                 	    8]^NULL^[

          206	   13dev test view	    7Working	           58	    1N	          202	16-aug-1995 12:38:03     	            3	16-aug-1995 12:38:03     	            3	]^NULL^[                 	    8]^NULL^[

          225	   12baselineview	    8Baseline	           62	    1N	            0	19-sep-1995 06:20:43     	            3	19-sep-1995 06:20:43     	            3	]^NULL^[                 	    8]^NULL^[

          227	    3dev	    7Working	           62	    1N	          225	19-sep-1995 06:21:37     	            3	19-sep-1995 06:21:54     	            3	]^NULL^[                 	    8]^NULL^[

          228	    4test	    7Working	           62	    1N	          225	19-sep-1995 06:21:40     	            3	19-sep-1995 06:22:03     	            3	]^NULL^[                 	    8]^NULL^[

          230	   12baselineview	    8Baseline	           63	    1N	            0	22-sep-1995 12:27:21     	            3	22-sep-1995 12:27:21     	            3	]^NULL^[                 	    8]^NULL^[

          232	    5patch	    7Working	           63	    1N	          230	22-sep-1995 12:29:13     	            3	22-sep-1995 12:29:45     	            3	]^NULL^[                 	    8]^NULL^[

          233	   12baselineview	    8Baseline	           64	    1N	            0	30-sep-1995 00:56:27     	            3	30-sep-1995 00:56:27     	            3	]^NULL^[                 	    8]^NULL^[

          235	    3dev	    7Working	           64	    1N	          233	30-sep-1995 00:56:27     	            3	30-sep-1995 00:57:21     	            3	]^NULL^[                 	    8]^NULL^[

          236	    2qa	    7Working	           64	    1N	          233	30-sep-1995 00:57:50     	            3	30-sep-1995 00:57:57     	            3	]^NULL^[                 	    8]^NULL^[

          241	   12baselineview	    8Baseline	           66	    1N	            0	14-nov-1995 03:35:44     	            3	14-nov-1995 03:35:44     	            3	]^NULL^[                 	    8]^NULL^[

          243	    3dev	    7Working	           66	    1N	          241	14-nov-1995 03:35:44     	            3	14-nov-1995 03:35:44     	            3	]^NULL^[                 	    8]^NULL^[

          244	    2qa	    7Working	           66	    1N	          241	14-nov-1995 03:35:44     	            3	14-nov-1995 03:35:44     	            3	]^NULL^[                 	    8]^NULL^[

          246	   12baselineview	    8Baseline	           67	    1N	            0	17-nov-1995 02:05:17     	            3	17-nov-1995 02:05:17     	            3	]^NULL^[                 	    8]^NULL^[

          248	    3dev	    7Working	           67	    1N	          246	17-nov-1995 02:05:17     	            3	17-nov-1995 02:05:17     	            3	]^NULL^[                 	    8]^NULL^[

          249	    7release	    7Working	           67	    1N	          246	17-nov-1995 02:05:17     	            3	08-oct-1996 01:01:39     	            3	]^NULL^[                 	    8]^NULL^[

          250	   12baselineview	    8Baseline	           68	    1N	            0	22-nov-1995 01:10:07     	            3	22-nov-1995 01:10:07     	            3	]^NULL^[                 	    8]^NULL^[

          251	    8dev view	    7Working	           68	    1N	          250	22-nov-1995 01:10:07     	            3	22-nov-1995 01:10:07     	            3	]^NULL^[                 	    8]^NULL^[

          252	   12release view	    7Working	           68	    1N	          250	22-nov-1995 01:10:07     	            3	22-nov-1995 01:10:07     	            3	]^NULL^[                 	    8]^NULL^[

          256	   12baselineview	    8Baseline	           69	    1N	            0	22-nov-1995 01:21:51     	            3	22-nov-1995 01:21:51     	            3	]^NULL^[                 	    8]^NULL^[

          260	   12baselineview	    8Baseline	           70	    1N	            0	09-dec-1995 06:25:07     	            3	09-dec-1995 06:25:07     	            3	]^NULL^[                 	    8]^NULL^[

          261	    8dev view	    7Working	           70	    1N	          260	09-dec-1995 06:25:07     	            3	09-dec-1995 06:25:07     	            3	]^NULL^[                 	    8]^NULL^[

          262	   12release view	    7Working	           70	    1N	          260	09-dec-1995 06:25:07     	            3	09-dec-1995 06:25:07     	            3	]^NULL^[                 	    8]^NULL^[

          264	   12baselineview	    8Baseline	           71	    1N	            0	19-dec-1995 04:51:30     	            3	19-dec-1995 04:51:30     	            3	]^NULL^[                 	    8]^NULL^[

          265	    8dev view	    7Working	           71	    1N	          264	19-dec-1995 04:51:30     	            3	19-dec-1995 04:51:30     	            3	]^NULL^[                 	    8]^NULL^[

          266	   12release view	    7Working	           71	    1N	          264	19-dec-1995 04:51:30     	            3	19-dec-1995 04:51:30     	            3	]^NULL^[                 	    8]^NULL^[

          273	   12baselineview	    8Baseline	           73	    1N	            0	09-jan-1996 08:30:53     	            3	09-jan-1996 08:30:53     	            3	]^NULL^[                 	    8]^NULL^[

          275	    3dev	    7Working	           73	    1N	          273	09-jan-1996 08:30:53     	            3	09-jan-1996 08:30:53     	            3	]^NULL^[                 	    8]^NULL^[

          276	    4test	    7Working	           73	    1N	          273	09-jan-1996 08:30:53     	            3	09-jan-1996 08:30:53     	            3	]^NULL^[                 	    8]^NULL^[

          278	   12baselineview	    8Baseline	           74	    1N	            0	18-jan-1996 01:42:29     	            3	18-jan-1996 01:42:29     	            3	]^NULL^[                 	    8]^NULL^[

          279	    8dev view	    7Working	           74	    1N	          278	18-jan-1996 01:42:29     	            3	18-jan-1996 01:42:29     	            3	]^NULL^[                 	    8]^NULL^[

          280	   12release view	    7Working	           74	    1N	          278	18-jan-1996 01:42:29     	            3	18-jan-1996 01:42:29     	            3	]^NULL^[                 	    8]^NULL^[

          284	   12baselineview	    8Baseline	           75	    1N	            0	31-jan-1996 01:25:30     	            3	31-jan-1996 01:25:30     	            3	]^NULL^[                 	    8]^NULL^[

          285	    8dev view	    7Working	           75	    1N	          284	31-jan-1996 01:25:30     	            3	31-jan-1996 01:25:30     	            3	]^NULL^[                 	    8]^NULL^[

          286	   12release view	    7Working	           75	    1N	          284	31-jan-1996 01:25:30     	            3	31-jan-1996 01:25:30     	            3	]^NULL^[                 	    8]^NULL^[

          290	   12baselineview	    8Baseline	           77	    1N	            0	28-feb-1996 01:14:41     	            3	28-feb-1996 01:14:41     	            3	]^NULL^[                 	    8]^NULL^[

          291	    8dev view	    7Working	           77	    1N	          290	28-feb-1996 01:14:41     	            3	28-feb-1996 01:14:41     	            3	]^NULL^[                 	    8]^NULL^[

          292	   12release view	    7Working	           77	    1N	          290	28-feb-1996 01:14:41     	            3	28-feb-1996 01:14:41     	            3	]^NULL^[                 	    8]^NULL^[

          299	   12baselineview	    8Baseline	           78	    1N	            0	07-may-1996 05:51:12     	            3	07-may-1996 05:51:12     	            3	]^NULL^[                 	    8]^NULL^[

          301	   10TW Working	    7Working	           78	    1N	          299	07-may-1996 05:51:40     	            3	18-jul-1997 08:20:23     	           38	]^NULL^[                 	    8]^NULL^[

          302	   12baselineview	    8Baseline	           79	    1N	            0	23-may-1996 07:13:45     	            3	23-may-1996 07:13:45     	            3	]^NULL^[                 	    8]^NULL^[

          304	   11development	    7Working	           79	    1N	          302	23-may-1996 07:14:23     	            3	23-may-1996 07:14:30     	            3	]^NULL^[                 	    8]^NULL^[

          331	   12baselineview	    8Baseline	           85	    1N	            0	24-aug-1996 01:11:17     	           10	24-aug-1996 01:11:17     	           10	]^NULL^[                 	    8]^NULL^[

          332	    8dev view	    7Working	           85	    1N	          331	24-aug-1996 01:11:17     	           10	16-jan-1998 07:01:02     	           54	]^NULL^[                 	    8]^NULL^[

          333	   12release view	    7Working	           85	    1N	          331	24-aug-1996 01:11:17     	           10	24-aug-1996 01:11:17     	           10	]^NULL^[                 	    8]^NULL^[

          334	    9test view	    7Working	           85	    1N	          331	24-aug-1996 01:11:17     	           10	02-oct-1996 02:23:46     	           10	]^NULL^[                 	    8]^NULL^[

          335	   13dev test view	    7Working	           85	    1N	          331	24-aug-1996 01:11:17     	           10	24-aug-1996 01:11:17     	           10	]^NULL^[                 	    8]^NULL^[

          353	   12baselineview	    8Baseline	           87	    1N	            0	18-oct-1996 05:58:35     	            3	18-oct-1996 05:58:35     	            3	]^NULL^[                 	    8]^NULL^[

          355	    7Release	    7Working	           87	    1N	          353	18-oct-1996 06:01:29     	            3	18-oct-1996 06:01:44     	            3	]^NULL^[                 	    8]^NULL^[

          362	   12baselineview	    8Baseline	           91	    1N	            0	18-dec-1996 03:43:41     	           50	18-dec-1996 03:43:41     	           50	]^NULL^[                 	    8]^NULL^[

          363	    8dev view	    7Working	           91	    1N	          362	18-dec-1996 03:43:41     	           50	18-dec-1996 03:43:41     	           50	]^NULL^[                 	    8]^NULL^[

          364	   12release view	    7Working	           91	    1N	          362	18-dec-1996 03:43:41     	           50	18-dec-1996 03:43:41     	           50	]^NULL^[                 	    8]^NULL^[

          365	    9test view	    7Working	           91	    1N	          362	18-dec-1996 03:43:41     	           50	18-dec-1996 03:43:41     	           50	]^NULL^[                 	    8]^NULL^[

          366	   13dev test view	    7Working	           91	    1N	          362	18-dec-1996 03:43:41     	           50	18-dec-1996 03:43:41     	           50	]^NULL^[                 	    8]^NULL^[

          369	   12baselineview	    8Baseline	           92	    1N	            0	25-jan-1997 03:07:56     	            3	25-jan-1997 03:07:56     	           55	]^NULL^[                 	  114The repository is created for managing Harvest 4.0 project. It is located on the partition rad in the machine rad.

          370	    3Dev	    7Working	           92	    1N	          369	25-jan-1997 03:07:56     	            3	08-sep-2000 07:49:45     	            3	]^NULL^[                 	    8]^NULL^[

          371	    7Release	    7Working	           92	    1N	          369	25-jan-1997 03:07:56     	            3	07-oct-1998 00:53:57     	           38	]^NULL^[                 	    8]^NULL^[

          372	   11Integration	    7Working	           92	    1N	          369	25-jan-1997 03:07:56     	            3	07-oct-1998 00:53:27     	           38	]^NULL^[                 	    8]^NULL^[

          373	    8Dev Test	    7Working	           92	    1N	          369	25-jan-1997 03:07:56     	            3	07-oct-1998 00:53:34     	           38	]^NULL^[                 	    8]^NULL^[

          395	   12baselineview	    8Baseline	          100	    1N	            0	02-jul-1997 01:18:22     	           14	02-jul-1997 01:18:22     	           14	]^NULL^[                 	    8]^NULL^[

          397	   12baselineview	    8Baseline	          101	    1N	            0	26-jul-1997 04:28:33     	           72	26-jul-1997 04:28:33     	           72	]^NULL^[                 	    8]^NULL^[

          399	   11Development	    7Working	          101	    1N	          397	26-jul-1997 04:37:30     	           72	26-jul-1997 04:37:40     	           72	]^NULL^[                 	    8]^NULL^[

          400	    4Test	    7Working	          101	    1N	          397	26-jul-1997 04:37:32     	           72	26-jul-1997 04:37:44     	           72	]^NULL^[                 	    8]^NULL^[

          401	    7Release	    7Working	          101	    1N	          397	26-jul-1997 04:37:33     	           72	26-jul-1997 04:37:49     	           72	]^NULL^[                 	    8]^NULL^[

          410	   12baselineview	    8Baseline	          105	    1N	            0	26-aug-1997 04:41:53     	           38	26-aug-1997 04:41:53     	           38	]^NULL^[                 	    8]^NULL^[

          412	   10TW Working	    7Working	          105	    1N	          410	26-aug-1997 04:41:53     	           38	26-aug-1997 04:41:53     	           38	]^NULL^[                 	    8]^NULL^[

          413	    2QA	    7Working	          105	    1N	          410	26-aug-1997 04:41:53     	           38	26-aug-1997 04:41:53     	           38	]^NULL^[                 	    8]^NULL^[

          415	   12baselineview	    8Baseline	          106	    1N	            0	10-sep-1997 06:31:52     	           59	10-sep-1997 06:31:52     	           59	]^NULL^[                 	    8]^NULL^[

